a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,d1,d2,d3,d4,d5,e1,e2,e3,e4,e5,f1,f2,f3,f4,f5,g1,g2,g3,g4,g5,h1,h2,h3,h4,h5
3.3716132619928647,5.75,1.7853571071357126,2.625,13.25,3.0790857247821535,7.0,1.6583123951777,1.1,18.0,4.236372820344401,6.0,1.5,1.2,13.0,3.754563334659087,3.0,1.224744871391589,0.7999999999999999,6.0,1.8905359532415076,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5078442011043194,7.333333333333334,2.081665999466133,3.3333333333333335,13.999999999999998,3.0875069956086714,2.5,1.4142135623730951,1.85,3.5,4.1175472595664955,5.0,1.4142135623730951,1.1,11.0,4.363619651948824,16.0,2.6457513110645907,2.138461538461539,52.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.4741663458999317,7.5,1.6393596310755,1.9500000000000002,17.0,3.128844989710183,7.0,2.23606797749979,2.7,19.0,4.4384694706233025,13.0,2.8284271247461903,3.1,29.0,4.236372820344401,5.0,1.5,1.3,8.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0,1.8905359532415076,2.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0
3.627708847749406,8.666666666666666,2.0275875100994067,3.4000000000000004,15.999999999999998,2.724523070701263,2.5,1.224744871391589,0.85,3.5,4.236372820344401,6.0,1.5,1.3,14.0,4.501371728440953,21.0,3.0,2.897285067873303,71.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,2.7773330646959034,3.0,1.7320508075688772,1.7,5.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,4.0,1.4142135623730951,0.4,8.0
3.5591207430578535,4.999999999999999,1.972026594366539,4.1000000000000005,7.666666666666667,3.4084292066654784,6.0,2.8284271247461903,5.0,6.0,4.158885253668007,5.0,2.23606797749979,2.7,7.0,4.2726342250228795,14.0,2.449489742783178,1.6588235294117648,42.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,0.0,1.0,1.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,2.0,1.4142135623730951,1.2,4.0
3.3725647008188613,3.75,1.695582495781317,2.775,5.25,2.9324200301522874,2.0,1.5811388300841898,2.0,2.0,3.96385587886619,3.0,1.3228756555322954,1.4000000000000001,7.0,3.91704097066629,5.333333333333333,1.2909944487358056,0.6392156862745098,16.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0
3.5078442011043194,5.666666666666667,2.081665999466133,3.6999999999999997,7.666666666666666,3.1947119277820457,3.0,1.7320508075688772,2.6,4.0,4.2726342250228795,14.0,2.449489742783178,1.4588235294117649,40.0,4.363619651948824,18.0,2.6457513110645907,1.5176470588235296,56.0,1.8905359532415076,2.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0
3.5908870622927296,8.0,1.9148542155126762,3.1333333333333333,16.0,3.128844989710183,6.0,2.23606797749979,2.8,14.0,4.410006329718444,11.0,1.6583123951777,0.9986425339366517,34.0,3.96385587886619,4.0,1.3228756555322954,1.1294117647058823,11.0,2.4680514925039145,2.0,1.4142135623730951,1.2,4.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4148453840822883,6.0,1.5362291495737217,2.04,14.400000000000002,2.887000706708466,4.0,1.2909944487358056,1.0,10.666666666666668,4.062207898537519,4.0,1.3333333333333335,0.9333333333333333,6.666666666666666,4.109125988739978,6.0,1.6583123951777,1.5000000000000002,16.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,2.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,3.0,1.0,0.1,9.0
3.4570013664151054,7.25,1.7320508075688772,2.2750000000000004,16.25,2.700235761328101,1.6666666666666665,1.247219128924647,1.3,3.0,4.1175472595664955,6.5,1.4142135623730951,0.6794117647058824,16.5,4.331610831181586,7.0,1.5811388300841898,1.3000000000000003,15.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,3.0,1.0,0.1,9.0
